"Sentiment","Comment"
"neutral","Roswell was real...this is all legit."
"neutral","google says space/mylar/foil blankets weren't made until 1964"
"neutral","Honest question…So what do we do with this letter now? Where can we complain or ask for truth behind this crash now that we presumably have proof of this?"
"positive","We could [read ancient, crumbling scrolls without even opening them](https://www.popularmechanics.com/science/news/a22985/read-ancient-hebrew-scroll-without-opening/), and that was in 2016. For those arguing that AI algorithms/etc are unreliable, maybe the ones distributed to the public. But the ones created and used by scientists are absolutely valid."
"neutral","Wow - and it litterally confirms every last aspect of the theories Ufology has held as true for *decades*... Every last little box neatly ticked - how brilliant and how silly of the USAF not to have used encryption. Like they actually did on sensitive telegrams."
"neutral","Would he really be posing for a photo with a top secret memo in his hand? Highly unlikely."
"neutral","The 503 Bomber wing! They control the country today."
"neutral","So here’s my question: If this photo shoot is a set-up showing fraudulent evidence, why would he be holding a letter that shows that an alien ship actually crashed? Like why not have a fake letter made up saying it was “a weather balloon”? It makes no sense than he’s holding the smoking gun."
"neutral","You can make it say what ever you want."
"positive","This is very cool."
"neutral","“Victims?” If this doc is legitimate it adds a new and interesting twist to what to date had cobwebs on it. And if victims were involved, what would be the reason to suppress that? Military deaths during operations happen constantly. Unless the deaths weren’t military personnel."
"neutral","Why do so many aliens suck at flying?"
"neutral","There was a program on discovery or one of those channels and they got a forensic guy to analyse it. It didn't say ""disc"" it said something else but I can't remember what it was.."
"negative","I really don't see how that right one could possibly come from the left folded document. Seems made up to me."
"neutral","Anyone know what’s up with the new pentagon report?"
"negative","I think the quotes should be ""deciphered"" more than they should be on ""disk"" in your title. This is exciting. Because it reaffirms our desire for validation but I don't trust this translation or technique."
"neutral","I always spelled disk for a hard disk drive and disc for a CD/DVD. Now I’m unsure about a SSD. Edit: that is a “drive” so I guess those are my disk and disc theories. On a UFO I would use disc."
"positive","I love how they seem to be sharing a humorous moment"
"neutral","Seems awfully similar to something recently, no?"
"neutral","My question is if they are doing a photo op to prove that it was a weather balloon and not a UFO, why would they bring and be holding a paper in that photo detailing that it is not a weather ballon and in fact is a UFO. Even if they couldn’t predict technology would be able to decipher the letter, that just makes no sense. I believe Roswell was a UFO coverup 100%, just not that the paper in these photos was of any significance"
"negative","I'm sorry but looking at the high resolution photos directly from the high resolution library, there's like 3 letters in the paragraph that are legible. I'm not buying it."
"negative","So, dumb question here. If the letter in his hands were true, why would he even be holding a sensitive letter in his hand for a photo?"
"negative","Yeah I'm not sure I'm buying this. Either this general is the biggest moron on the planet with the worst operational security practices, or it's staged."
"neutral","Where are the people involved that cleaned the crash scene? There would have had to been a hundred people involved for weeks picking up every single part. People do not keep secrets and would have raked at least to family members."
"negative","All you have to do is zoom in on the circled piece of paper in the guy's hand to see that it's not the same document. It's folded in half, showing below the fold. There are no black redaction bars. Etc etc shut up stop lying i hate it here."
"positive","Sounds like the smoking gun as the real deal."
"neutral","I want this to be true, but I would imagine this would have some sort of classification. I would hope a 1 star would know the proper way to handle a classified document."
"neutral","wheres mick west on this one?"
"neutral","When you post proof and CIA bots discredit your post 😂 Regardless, this is a smoking gun but not as big as some of the other evidence available."
"neutral","""near operation at the ranch"" What's the ranch?"
"neutral","Guys… come on… Roswell was the least likely source of an actual UFO crash. I love me an alien conspiracy but ffs let’s move on"
"neutral","Lots of assessing"
